home_team,away_team,Attendance,Round,Host,Year,Date,home_score,away_score,result,home_rank,home_points,confederation_x,away_rank,away_points,confederation_y,ranking_difference,points_difference,home_team_power,away_team_power,team_power_difference
Yugoslavia,Uruguay,8829,Group stage,Chile,1962,1962-06-02,3,1,home_win,,,,,,,,,,65.00322653846155,
England,Argentina,9794,Group stage,Chile,1962,1962-06-02,3,1,home_win,,,,,,,,,68.18326346153846,67.99343846153849,0.1898249999999706
Brazil,Czechoslovakia,14903,Group stage,Chile,1962,1962-06-02,0,0,draw,,,,,,,,,71.18102653846155,,
Chile,Italy,66057,Group stage,Chile,1962,1962-06-02,2,0,home_win,,,,,,,,,63.52331596153847,68.45827307692308,-4.934957115384606
West Germany,Switzerland,64922,Group stage,Chile,1962,1962-06-03,2,1,home_win,,,,,,,,,,64.68190576923077,
Hungary,Bulgaria,7442,Group stage,Chile,1962,1962-06-03,6,1,home_win,,,,,,,,,57.00994596153846,52.81303951923076,4.1969064423077
Soviet Union,Colombia,8040,Group stage,Chile,1962,1962-06-03,4,4,draw,,,,,,,,,,64.20907144230769,
Spain,Mexico,11875,Group stage,Chile,1962,1962-06-03,1,0,home_win,,,,,,,,,71.50423846153845,64.15167115384617,7.352567307692283
West Germany,Chile,67224,Group stage,Chile,1962,1962-06-06,2,0,home_win,,,,,,,,,,63.52331596153847,
Hungary,Argentina,7945,Group stage,Chile,1962,1962-06-06,0,0,draw,,,,,,,,,57.00994596153846,67.99343846153849,-10.983492500000025
Brazil,Spain,18715,Group stage,Chile,1962,1962-06-06,2,1,home_win,,,,,,,,,71.18102653846155,71.50423846153845,-0.3232119230768973
Soviet Union,Uruguay,9973,Group stage,Chile,1962,1962-06-06,2,1,home_win,,,,,,,,,,65.00322653846155,
Yugoslavia,Colombia,7167,Group stage,Chile,1962,1962-06-07,5,0,home_win,,,,,,,,,,64.20907144230769,
Italy,Switzerland,59828,Group stage,Chile,1962,1962-06-07,3,0,home_win,,,,,,,,,68.45827307692308,64.68190576923077,3.776367307692311
Mexico,Czechoslovakia,10648,Group stage,Chile,1962,1962-06-07,3,1,home_win,,,,,,,,,64.15167115384617,,
England,Bulgaria,5700,Group stage,Chile,1962,1962-06-07,0,0,draw,,,,,,,,,68.18326346153846,52.81303951923076,15.370223942307696
Yugoslavia,West Germany,63324,Quarter-finals,Chile,1962,1962-06-10,1,0,home_win,,,,,,,,,,,
Czechoslovakia,Hungary,11690,Quarter-finals,Chile,1962,1962-06-10,1,0,home_win,,,,,,,,,,57.00994596153846,
Brazil,England,17736,Quarter-finals,Chile,1962,1962-06-10,3,1,home_win,,,,,,,,,71.18102653846155,68.18326346153846,2.9977630769230927
Chile,Soviet Union,17268,Quarter-finals,Chile,1962,1962-06-10,2,1,home_win,,,,,,,,,63.52331596153847,,
Czechoslovakia,Yugoslavia,5890,Semi-finals,Chile,1962,1962-06-13,3,1,home_win,,,,,,,,,,,
Brazil,Chile,76594,Semi-finals,Chile,1962,1962-06-13,4,2,home_win,,,,,,,,,71.18102653846155,63.52331596153847,7.65771057692308
Chile,Yugoslavia,66697,Third-place match,Chile,1962,1962-06-16,1,0,home_win,,,,,,,,,63.52331596153847,,
Brazil,Czechoslovakia,68679,Final,Chile,1962,1962-06-17,3,1,home_win,,,,,,,,,71.18102653846155,,
England,Uruguay,87148,Group stage,England,1966,1966-07-11,0,0,draw,,,,,,,,,68.18326346153846,65.00322653846155,3.180036923076912
Soviet Union,North Korea,23006,Group stage,England,1966,1966-07-12,3,0,home_win,,,,,,,,,,,
Brazil,Bulgaria,47308,Group stage,England,1966,1966-07-12,2,0,home_win,,,,,,,,,71.18102653846155,52.81303951923076,18.36798701923079
