home_team,away_team,Attendance,Round,Host,Year,Date,home_score,away_score,result,home_rank,home_points,confederation_x,away_rank,away_points,confederation_y,ranking_difference,points_difference,home_team_power,away_team_power,team_power_difference,home_last5_wins,home_last5_draws,home_last5_losses,home_last5_goals,home_last5_goals_conceded,home_recent_form_score,away_last5_wins,away_last5_draws,away_last5_losses,away_last5_goals,away_last5_goals_conceded,away_recent_form_score,form_score_difference,recent_goals_difference,recent_defense_difference
Hungary,Brazil,40000,Quarter-finals,Switzerland,1954,1954-06-27,4,2,home_win,,,,,,,,,57.00994596153846,71.18102653846155,-14.171080576923089,4,0,1,26,8,12,3,1,1,20,5,10,2,6,-3
Germany,Yugoslavia,17000,Quarter-finals,Switzerland,1954,1954-06-27,2,0,home_win,,,,,,,,,69.83241730769232,,,2,1,2,17,16,7,3,1,1,9,4,10,-3,8,-12
Germany,Austria,58000,Semi-finals,Switzerland,1954,1954-06-30,6,1,home_win,,,,,,,,,69.83241730769232,63.952364230769234,5.88005307692309,3,0,2,18,15,9,3,0,2,15,9,9,0,3,-6
Hungary,Uruguay,45000,Semi-finals,Switzerland,1954,1954-06-30,4,2,home_win,,,,,,,,,57.00994596153846,65.00322653846155,-7.993280576923084,4,0,1,28,10,12,5,0,0,18,5,15,-3,10,-5
Austria,Uruguay,32000,Third-place match,Switzerland,1954,1954-07-03,3,1,home_win,,,,,,,,,63.952364230769234,65.00322653846155,-1.050862307692313,3,0,2,16,14,9,4,0,1,17,7,12,-3,-1,-7
Germany,Hungary,62500,Final,Switzerland,1954,1954-07-04,3,2,home_win,,,,,,,,,69.83241730769232,57.00994596153846,12.82247134615386,4,0,1,22,12,12,4,0,1,27,11,12,0,-5,-1
Yugoslavia,Scotland,9591,Group stage,Sweden,1958,1958-06-08,1,1,draw,,,,,,,,,,62.71133875,,2,1,2,6,6,7,0,0,2,0,8,0,7,6,2
Argentina,West Germany,31156,Group stage,Sweden,1958,1958-06-08,1,3,away_win,,,,,,,,,67.99343846153849,,,3,0,2,19,12,9,0,0,0,0,0,0,9,19,-12
France,Paraguay,16518,Group stage,Sweden,1958,1958-06-08,7,3,home_win,,,,,,,,,69.714,61.38765480769232,8.326345192307677,2,0,3,9,10,6,1,1,2,3,7,4,2,6,-3
Soviet Union,England,49348,Group stage,Sweden,1958,1958-06-08,2,2,draw,,,,,,,,,,68.18326346153846,,0,0,0,0,0,0,1,1,3,8,10,4,-4,-8,10
Hungary,Wales,15343,Group stage,Sweden,1958,1958-06-08,1,1,draw,,,,,,,,,57.00994596153846,59.99270048076925,-2.982754519230788,4,0,1,27,10,12,0,0,0,0,0,0,12,27,-10
Northern Ireland,Czechoslovakia,10647,Group stage,Sweden,1958,1958-06-08,1,0,home_win,,,,,,,,,57.40677173076923,,,0,0,0,0,0,0,1,1,3,5,10,4,-4,-5,10
